"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
4.150597760E-1	-1.938750036E-2	2.749999985E-3	-2.749999985E-4	1.958349548E-2
4.172072350E-1	-2.296249941E-2	-8.249999955E-4	-1.512499992E-3	2.302704194E-2
4.193527760E-1	-2.543750033E-2	4.124999978E-4	-1.512499992E-3	2.548576535E-2
4.215003890E-1	-2.791249938E-2	2.749999985E-3	-2.749999985E-3	2.818213302E-2
4.236456990E-1	-2.791249938E-2	3.987499978E-3	-1.512499992E-3	2.823642035E-2
4.257933890E-1	-2.791249938E-2	2.749999985E-3	-1.512499992E-3	2.808839223E-2
4.279388530E-1	-3.038750030E-2	3.987499978E-3	-1.512499992E-3	3.068530572E-2
4.300863120E-1	-2.791249938E-2	3.987499978E-3	-2.749999985E-3	2.832967133E-2
4.322318910E-1	-2.914999984E-2	3.987499978E-3	-2.749999985E-4	2.942275092E-2
4.343795040E-1	-3.038750030E-2	3.987499978E-3	-1.512499992E-3	3.068530572E-2
4.365248140E-1	-2.914999984E-2	1.512499992E-3	-2.749999985E-4	2.919050825E-2
4.386725040E-1	-2.914999984E-2	2.749999985E-3	-2.749999985E-4	2.928072089E-2
4.408179680E-1	-2.543750033E-2	1.512499992E-3	-1.512499992E-3	2.552727434E-2
4.429654560E-1	-2.667500079E-2	4.124999978E-4	-1.512499992E-3	2.672103066E-2
4.451109970E-1	-2.419999987E-2	4.124999978E-4	-2.749999985E-3	2.435924157E-2
4.472586100E-1	-2.296249941E-2	1.512499992E-3	-2.749999985E-4	2.301390146E-2
4.494039200E-1	-1.938750036E-2	4.124999978E-4	-2.749999985E-4	1.939383798E-2
4.515516100E-1	-1.814999990E-2	4.124999978E-4	-1.512499992E-3	1.821758241E-2
4.536970790E-1	-1.443750039E-2	2.749999985E-3	-2.749999985E-4	1.469964429E-2
4.558445380E-1	-1.196249947E-2	2.749999985E-3	-1.512499992E-3	1.236735823E-2
4.579900020E-1	-8.387500420E-3	4.124999978E-4	-2.749999985E-4	8.402139284E-3
4.601376920E-1	-5.912499968E-3	4.124999978E-4	-2.749999985E-4	5.933248446E-3
4.622830020E-1	-2.199999988E-3	4.124999978E-4	9.624999948E-4	2.436506194E-3
4.644307350E-1	-9.624999948E-4	4.124999978E-4	9.624999948E-4	1.422311052E-3
4.665761990E-1	2.612499986E-3	-8.249999955E-4	2.199999988E-3	3.513656374E-3
4.687236580E-1	5.087499972E-3	-8.249999955E-4	9.624999948E-4	5.243060862E-3
4.708691990E-1	7.562499959E-3	-2.062499989E-3	-2.749999985E-4	7.843528341E-3
4.730168120E-1	1.113750041E-2	-2.062499989E-3	-2.749999985E-4	1.133020064E-2
4.751623570E-1	1.237499993E-2	-8.249999955E-4	-2.749999985E-4	1.240551786E-2
4.773098160E-1	1.608750038E-2	-8.249999955E-4	9.624999948E-4	1.613736966E-2
4.794552800E-1	1.856249943E-2	-2.062499989E-3	-2.749999985E-4	1.867875575E-2
4.816027390E-1	1.856249943E-2	-3.299999982E-3	9.624999948E-4	1.887810349E-2
4.837482800E-1	1.979999989E-2	-2.062499989E-3	9.624999948E-4	1.993038655E-2
4.858958940E-1	1.979999989E-2	-2.062499989E-3	-2.749999985E-4	1.990903129E-2
4.880414350E-1	2.337500080E-2	-8.249999955E-4	-2.749999985E-4	2.339117168E-2
4.901888940E-1	2.089999989E-2	-3.299999982E-3	9.624999948E-4	2.118080266E-2
4.923343580E-1	2.213750035E-2	-2.062499989E-3	9.624999948E-4	2.225419587E-2
4.944818170E-1	2.213750035E-2	-3.299999982E-3	9.624999948E-4	2.240279732E-2
4.966273720E-1	2.213750035E-2	-3.299999982E-3	2.199999988E-3	2.248997380E-2
4.987749850E-1	2.213750035E-2	-3.299999982E-3	9.624999948E-4	2.240279732E-2
5.009205250E-1	2.213750035E-2	-2.062499989E-3	2.199999988E-3	2.234195219E-2
5.030679850E-1	2.089999989E-2	-2.062499989E-3	2.199999988E-3	2.111643676E-2
5.052134490E-1	1.856249943E-2	4.124999978E-4	2.199999988E-3	1.869696610E-2
5.073608980E-1	1.856249943E-2	-2.062499989E-3	9.624999948E-4	1.870151592E-2
5.095064390E-1	1.732499897E-2	-2.062499989E-3	-2.749999985E-4	1.744950202E-2
5.116540520E-1	1.361249946E-2	4.124999978E-4	9.624999948E-4	1.365271783E-2
5.137995920E-1	1.237499993E-2	-8.249999955E-4	9.624999948E-4	1.243976103E-2
5.159470520E-1	1.361249946E-2	-2.062499989E-3	-2.749999985E-4	1.377060902E-2
5.180925070E-1	9.899999946E-3	-2.062499989E-3	9.624999948E-4	1.015826321E-2
5.202399660E-1	7.562499959E-3	-3.299999982E-3	-2.749999985E-4	8.255727134E-3
5.223855070E-1	5.087499972E-3	-3.299999982E-3	9.624999948E-4	6.139956196E-3
5.245331200E-1	2.612499986E-3	-8.249999955E-4	-2.749999985E-4	2.753435339E-3
5.266786600E-1	2.612499986E-3	-8.249999955E-4	9.624999948E-4	2.903822896E-3
5.288261490E-1	-2.199999988E-3	4.124999978E-4	9.624999948E-4	2.436506194E-3
5.309716120E-1	-3.437499981E-3	-8.249999955E-4	-1.512499992E-3	3.845086129E-3
